dataset,target_name,target_score,retained_fraction,mean_width,std_width,mean_sigma_cal,std_sigma_cal,ci_lower_width,ci_upper_width,ci_lower_sigma_cal,ci_upper_sigma_cal,e_model,ambiguity
spambase,s~0.50,0.489244312397258,0.125,0.20319392886629464,0.12311272100644574,0.11860306645100066,0.021497505399353665,0.05139645592836338,0.45376680672268904,0.07131283277032584,0.15460989823857693,0.16161442305651594,0.24881093935790727
spambase,s~0.65,0.6490026495723569,1.0,0.2142857142857144,1.1102230246251565e-16,0.08257881841986885,0.0061756933077577415,0.2142857142857143,0.2142857142857143,0.0684862191600963,0.09310748734849435,0.13467202615101823,0.21811224489795916
spambase,s~0.65,0.6490026495723569,0.75,0.22440157424974136,0.09261465391014463,0.08855795375493385,0.0077998134980363535,0.06297123015873016,0.40138888888888863,0.07003381761283253,0.10342290830120059,0.13467202615101823,0.21811224489795916
spambase,s~0.65,0.6490026495723569,0.5,0.2342402615281599,0.1041759134980285,0.09094634568970499,0.015366741623755405,0.07917647058823525,0.4640943835161178,0.05937188583882708,0.11691719282861983,0.13467202615101823,0.21811224489795916
spambase,s~0.65,0.6490026495723569,0.25,0.29237222379052363,0.1442921962944189,0.10004127792402372,0.023101389997900287,0.09023809523809526,0.6016212121212119,0.059130643585158446,0.14386100750169173,0.13467202615101823,0.21811224489795916
spambase,s~0.65,0.6490026495723569,0.125,0.353875949221801,0.16684772919521862,0.10167446693554562,0.030168678328051805,0.09999999999999998,0.6635320378151259,0.0554338253037802,0.15966566127333878,0.13467202615101823,0.21811224489795916
spambase,s~0.80,0.7995415408394569,1.0,0.032258064516129004,0.0,0.04619434615053237,0.003155962850835302,0.032258064516129004,0.032258064516129004,0.03984297317591633,0.05226621599365674,0.12255947205864653,0.10015608740894902
spambase,s~0.80,0.7995415408394569,0.75,0.041685656508071635,0.006168726025850686,0.049568833651488925,0.010244841509232048,0.028970588235294126,0.057271241830065295,0.03100835276449854,0.06648959539470262,0.12255947205864653,0.10015608740894902
spambase,s~0.80,0.7995415408394569,0.5,0.05941566710689025,0.016620263089317116,0.051666392365172974,0.018033663039191964,0.028299138804457967,0.09719993041213977,0.019834246544540062,0.08889471878776693,0.12255947205864653,0.10015608740894902
spambase,s~0.80,0.7995415408394569,0.25,0.10746530549831391,0.04884620697952781,0.06686347138943757,0.023336541208028017,0.037750000000000006,0.20920833333333333,0.028982876768421248,0.11459272956300982,0.12255947205864653,0.10015608740894902
spambase,s~0.80,0.7995415408394569,0.125,0.18405927719511309,0.10312274947398746,0.08360126801104811,0.025204535555976453,0.06140350877192979,0.4355208333333333,0.04701086427932011,0.13691478533128676,0.12255947205864653,0.10015608740894902
